Player,Team,Position,Age,Games,Receptions_per_Game,Receiving_Yards_per_Game,Rushing_Yards_per_Game,Rushing_Attempts_per_Game
Eric Saubert,CHI,NA,25,2,1,10.5,NA,NA
Eric Tomlinson,3TM,NA,27,8,0.1,0.1,NA,NA
Erik Harris,OAK,FS,29,16,0,0,0.3,0.1
Evan Engram,NYG,TE,25,8,5.5,58.4,0.9,0.4
Ezekiel Elliott,DAL,RB,24,16,3.4,26.3,84.8,18.8
Foster Moreau,OAK,TE,22,13,1.6,13.4,NA,NA
Frank Gore,BUF,rb,36,16,0.8,6.3,37.4,10.4
Fred Brown,DEN,NA,26,13,0.2,1.6,NA,NA
Gardner Minshew II,JAX,QB,23,14,0,0,24.6,4.8
Geoff Swaim,JAX,/te,26,6,2.2,10.8,NA,NA
George Kittle,SFO,TE,26,14,6.1,75.2,1.6,0.4
Gerald Everett,LAR,NA,25,13,2.8,31.4,0,0.1
Geremy Davis,LAC,/wr,27,7,0.4,5.4,NA,NA
Geronimo Allison,GNB,wr,25,16,2.1,17.9,0.4,0.1
Giovani Bernard,CIN,NA,28,16,1.9,14.6,10.6,3.3
Golden Tate,NYG,WR,31,11,4.5,61.5,1.5,0.1
Greg Olsen,CAR,TE,34,14,3.7,42.6,NA,NA
Greg Ward,PHI,NA,24,7,4,36.3,0.7,0.1
Gunner Olszewski,NWE,NA,23,8,0.3,4.3,NA,NA
Gus Edwards,BAL,NA,24,16,0.4,2.8,44.4,8.3
Hale Hentges,WAS,NA,23,11,0.7,9.4,NA,NA
Hayden Hurst,BAL,/te,26,16,1.9,21.8,NA,NA
Hunter Henry,LAC,TE,25,12,4.6,54.3,NA,NA
Hunter Renfrow,OAK,NA,24,13,3.8,46.5,NA,NA
Ian Thomas,CAR,NA,23,16,1,8.5,NA,NA
Irv Smith Jr.,MIN,NA,21,16,2.3,19.4,NA,NA
Isaac Nauta,DET,NA,22,6,0.3,2.2,NA,NA
Isaiah Ford,MIA,NA,23,8,2.9,30.5,1.4,0.1
Isaiah McKenzie,BUF,WR,24,15,1.8,16.9,3.3,0.5
Ishmael Hyman,TAM,NA,24,2,1,17,NA,NA
Ito Smith,ATL,NA,24,7,1.6,12.4,15.1,3.1
J.D. McKissic,DET,/rb,26,16,2.1,14.6,12.8,2.4
J.P. Holtz,2TM,NA,26,15,0.5,6.1,NA,NA
Jack Doyle,IND,TE,29,16,2.7,28,NA,NA
